"слово","замена","использовать"
"3d","трёхмерный, объёмный",""
"agile","гибкий",""
"cтек","набор",""
"cтек-технологий","набор-технологий",""
"digital","цифровой",""
"environment","среда",""
"faq","",""
"gross","чистыми, после налогов",""
"outsource","подрядчик, подрядчикам, подрядческую",""
"sale","распродажа",""
"social-media","социальные сети",""
"абсолютный","совершенный",""
"абсорбция","всасывание, поглощение",""
"абстрактный","отвлеченный",""
"аватар","олицетворение, воплощение, символ",""
"автор","создатель, творец, создатель",""
"авторизация","разрешение, одобрение, проверка полномочий",""
"авторизованный","уполномоченный",""
"авторитетный","значимый",""
"агитировать","вовлекать, возбуждать",""
"аграрный","земледельческий",""
"агрессивный","наступательный",""
"адвертайзинг","реклама",""
"адвертисмент","реклама",""
"адекватный","соответствующий, достаточный, вменяемый, понимающий",""
"адекватный","соответствующий",""
"аджайл","шибкий",""
"адюльтер","прелюбодеяние",""
"аккаунт","учётная запись",""
"акселерация","ускорение",""
"аксессуар","принадлежность",""
"акт","действие",""
"активный","деятельный",""
"актуальный","действительный, злободневный, текущий",""
"акцент","подчёркивание, упор",""
"акцентировать","обращать внимание",""
"акциз","налог, непрямой налог",""
"алкалиновый","щелочной",""
"аллегория","иносказание, притча",""
"алфавит","азубка, глаголица",""
"альтернатива","равноценность, другая возможность",""
"альтернативный","состязательный",""
"альтруист","доброжелатель",""
"аморальный","безнравственный",""
"амплитуда","размах",""
"анализ","разбор",""
"аналог","соответствие",""
"аналогичный","такой же, тождественный",""
"аналогия, аналог, аналогичный","подобие, подобный, такой же",""
"ангажированный","нанятый, предвзятый, заинтересованный",""
"анкета","вопросник",""
"аннотация","содержание",""
"анонс","объявление",""
"антураж","обстановка, окружение",""
"аншлаг","полный зал",""
"апгрейд","улучшение, обновление",""
"апдейт","обновление",""
"аплодисменты","рукоплескания",""
"апогей","максимум, пик, вершина",""
"апологет","поборник, защитник",""
"априори","заведомо, заранее",""
"апробировать","утвердить, санкционировать",""
"аргумент","довод, основание",""
"аренда","сдача, съём",""
"арест","задержание",""
"аристократия","знать",""
"армия","войско, рать",""
"армрестлинг","борьба на руках, рукоборье",""
"артист","лицедей",""
"архив","древлехранилище",""
"асептический","обеззараживающий",""
"аскать","спрашивать",""
"ассистент","помощник",""
"ассортимент","набор, выбор, разновидность, разнообразие",""
"атеизм","безбожие",""
"аудит","проверка",""
"аутсайдер","неудачник",""
"аутсорс","подрядчик, подрядчикам, подрядческую",""
"аутсорсинг","привлечение внешних ресурсов",""
"аффект","оцепенение, шок",""
"баг","ошибка",""
"байкер","мотоциклист",""
"баксы","доллары",""
"бан","запрет",""
"баннер","плакат, транспарант",""
"бар","рюмочная",""
"бартер","товарообмен",""
"башкортостан","башкирия",""
"бебиситтинг","уход за ребенком",""
"бейджик","значок, именная табличка",""
"бестселлер","лидер продаж",""
"бизнес","дело",""
"бизнесвуман","предпринимательница",""
"бизнесмен","предприниматель, делец",""
"билборд","рекламный щит",""
"биллинг","расценка, тарификация",""
"бифуркация","раздвоение",""
"блог","сетевой дневник",""
"блок","объединение",""
"блокбастер","сверпопулярный",""
"блютус","радиодоступ (например, радионаушник, радиомышь...)",""
"бодибилдинг","культуризм, телострой, тренировка мышц",""
"бойфренд","приятель, парень, парень, жених, ухажёр",""
"бонус","дополнение, добавка, доплата, премия",""
"брандмауэр","противопожарная перегородка, межсетевой экран",""
"браузер","обозреватель",""
"бренд","(фирменная) марка",""
"брендинг","",""
"брифинг","короткая конференция",""
"брокер","постредник",""
"брутальный","жестокий, грубый",""
"бутик","модная лавка",""
"бутсы","ботинки",""
"буфет","забегаловка",""
"бэби","ребенок",""
"бэбиситтер","няня",""
"бэк-вокал","подпевка",""
"бэкграунд","подложка, фон, сопровождение",""
"вакансия","",""
"вакханалия","разгул",""
"валоризация","дооценка, повышение ценности",""
"вариант","разновидность",""
"вариация","видоизменение, переменность",""
"ваучер","(письменное) обязательство",""
"вахтер","сторож",""
"велкам","добро пожаловать",""
"велком","добро пожаловать",""
"вердикт","приговор",""
"верлибр","белый стих",""
"визит","посещение",""
"вилладж","деревня",""
"виндпруф","водонепроницаемый",""
"виндсёрфинг","ветроскольжение",""
"винтаж","зрелость, марочность, качественность",""
"винтажный","зрелый, старомодный",""
"виньетка","завитушка, обрамление",""
"виральный","вирусный",""
"виртуальный","мнимый, возможный",""
"вице","заместитель",""
"волатильность","изменчивость, непостоянство, неустойчивость",""
"волонтёр","доброволец, желающий",""
"волюнтаризм","самоуправство",""
"вотум","выражение (доверия или недоверия)",""
"вояж","путешествие",""
"вундеркинд","чудо ребенок",""
"габариты","размеры",""
"гаджет","приспособление, штучка",""
"гармонический","всесторонний",""
"гастарбайтер","рабочий-иноземец",""
"гёрлфренд","подруга, девушка, невеста",""
"гегемон","вождь",""
"гейм","компьютерная игра, игра",""
"геймер","игрок, игроман",""
"генезис","происхождение",""
"генеральный","главный, основной",""
"генерация","поколение, производство",""
"гений","талант",""
"герметичный","непроницаемый, плотно",""
"гетерогенный","разнородный",""
"гиперболизировать","преувеличивать, утрировать",""
"гипертрофированный","преувеличенный, раздутый",""
"гипотетический","предполагаемый, предположительный",""
"гламурный","эффектный, вычурный",""
"голкипер","вратарь",""
"гомогенный","однородный",""
"гомосексуализм","мужеложство",""
"горизонт","окоём",""
"горнист","трубач",""
"госпиталь","больница",""
"грант","дар, дотация, стипендия",""
"гуглить","искать",""
"гуманизм","человечность",""
"гуманность","человечность",""
"дайвер","ныряльщик, водолаз",""
"дайвинг","подводное плавание, погружение, ныряние",""
"дайджест","подборка, обозрение, обзор",""
"дайвер","ныряльщик",""
"дайджест","обзор",""
"двухфакторная","двухшаговая",""
"дебаг","отладочный",""
"дебагинг","отладка",""
"дебаты","прения",""
"дебитор","займодержатель, должник",""
"девайс","устройство",""
"девальвация","обесценивание",""
"девелопер","застройщик, проявщик, разработчик",""
"дегенерат","выродок",""
"дедлайн","крайний срок",""
"дежавю","уже виденное",""
"деинсталляция","удаление, разборка",""
"декларация","объявление",""
"демократичное","доступное",""
"демонстрация","показ, выступление, представление",""
"демонстрировать","показывать, выказывать",""
"демонтаж","разборка",""
"демпинг","сброс цен",""
"денудация","выветривание",""
"департамент","отдел, отделение",""
"деплой","развёртывание, разворачивание, выкладывание",""
"деприватизация","национализация",""
"депутат","посланник",""
"дерматолог","кожник",""
"десант","высадка",""
"деструктивный","разрушительный",""
"деталь","частица, частность",""
"детальный","подробный",""
"дефект","недочёт, недостаток",""
"дефицит","нехватка",""
"дефолт","отказ от обязательств, исходное состояние",""
"джем","варенье",""
"джоггинг","пробежка, бег трусцой",""
"джойстик","рычажок, рычаг управления, игровой манипулятор",""
"джуниор","младший",""
"диалог","беседа",""
"диарея","понос",""
"диверсификация","расширение деятельности",""
"диггер","строитель метро",""
"дигитальный","цифровой",""
"диджей","диск-жокей",""
"диджитал","цифровой",""
"дизайнер","разработчик, оформитель",""
"диктат","навязывание, властность",""
"диктор","ведущий",""
"дилер","посредник, поставщик",""
"директива","указ",""
"директор","управляющий, начальник",""
"дисгармония","разлад, разногласие",""
"дискаунт, дисконт","скидка, льгота",""
"дискомфорт","неудобство",""
"дискриминация","ущемление",""
"дискуссия","обсуждение, спор",""
"дислокация","размещение",""
"диспозиция","расположение",""
"диссонанс","несоответствие, противоречие, разлад",""
"дистрибьютор","поставщик, распределитель",""
"диффамация","поношение",""
"дифференциация","разделение",""
"дифференцированный","раздельный",""
"доктор","врач",""
"доминировать","господствовать, подчинять, преобладать",""
"драйв","кураж, раж",""
"драйвовый","активный, заводной",""
"драфт","черновик, черновой вариант, макет договора",""
"дресс-код","форма одежды",""
"дриблинг","ведение (мяча, шайбы)",""
"дуэль","поединок",""
"зондировать","выяснять, прощупывать",""
"зум","приближение, увеличение",""
"игнорировать","пренебрегать",""
"идентификатор","отождествление, признак, метка",""
"идентификация","опознавание, распознавание",""
"идентичный","тождественный, одинаковый",""
"идея","замысел, задумка",""
"иллюминация","освещение, подсветка",""
"имейдж","образ",""
"имидж","образ, облик, репутация",""
"имитация","подражание, подделка",""
"императив","повеление",""
"имплементация","исполнние, выполнение, осуществление",""
"импозантный","представительный, внушительный",""
"импорт","ввоз",""
"имхо","по-моему, кажется",""
"инаугурация","ознаменование, посвящение, вступление",""
